Composer;Range;Prevalence of Most Common Pitch Class;Relative Prevalence of Top Pitches;Pitch Class Variability After Folding;Most Common Melodic Interval;Number of Common Melodic Intervals;Stepwise Motion;Vertical Dissonance Ratio;Diminished and Augmented Triads;Note Density Variability
2;50.0000;0.1500;0.9100;3.9100;1.0000;3.0000;0.6200;0.1700;0.0400;2.7400
2;48.0000;0.1600;0.9500;4.0300;1.0000;2.0000;0.6200;0.2000;0.1300;2.1200
2;53.0000;0.2000;0.8000;4.3900;2.0000;3.0000;0.5300;0.1200;0.0200;1.7900
2;51.0000;0.1500;0.9200;4.0400;2.0000;2.0000;0.6900;0.1400;0.0400;3.9200
2;51.0000;0.1500;0.9200;4.0400;2.0000;2.0000;0.6900;0.1400;0.0400;3.9200
2;52.0000;0.1900;0.8200;2.1300;2.0000;3.0000;0.5300;0.1600;0.0500;4.4200
2;45.0000;0.2200;0.7900;1.9000;2.0000;4.0000;0.5000;0.0300;0.0100;2.4200
2;46.0000;0.2100;0.8500;2.2800;2.0000;3.0000;0.5200;0.1100;0.0200;4.0000
2;45.0000;0.2100;0.9500;3.8100;1.0000;3.0000;0.5900;0.1000;0.0900;1.2600
2;50.0000;0.1800;0.9200;2.2900;0.0000;3.0000;0.4400;0.1400;0.0100;2.6000
2;52.0000;0.2000;0.9400;3.4900;2.0000;4.0000;0.5100;0.1100;0.0600;4.3600
2;48.0000;0.2100;0.7000;4.0700;2.0000;3.0000;0.5700;0.1500;0.0400;3.2200
2;41.0000;0.2100;0.7600;3.7900;0.0000;4.0000;0.4000;0.1700;0.0300;2.2400
2;51.0000;0.2000;0.9700;3.9000;2.0000;5.0000;0.4100;0.2000;0.0300;3.8700
2;53.0000;0.2500;0.9600;4.0600;2.0000;3.0000;0.4700;0.1700;0.0100;2.8600
2;51.0000;0.2300;0.8400;4.4100;2.0000;3.0000;0.4500;0.1300;0.0300;3.0700
2;45.0000;0.2000;0.9500;4.2500;3.0000;5.0000;0.2700;0.1400;0.0500;2.3200
